  3.389E-04 -2.789E-03  1.678E+03  2.719E+02 -5.928E-03 -5.563E-02
  3.566E-04 -3.237E-03  1.759E+03  2.850E+02 -6.889E-03 -6.158E-02
  3.752E-04 -3.758E-03  1.844E+03  2.989E+02 -8.005E-03 -6.817E-02
  3.947E-04 -4.363E-03  1.934E+03  3.134E+02 -9.302E-03 -7.547E-02
  4.153E-04 -5.066E-03  2.029E+03  3.287E+02 -1.081E-02 -8.355E-02
  4.370E-04 -5.883E-03  2.128E+03  3.448E+02 -1.256E-02 -9.248E-02
  4.598E-04 -6.833E-03  2.233E+03  3.618E+02 -1.459E-02 -1.024E-01
  4.838E-04 -7.937E-03  2.343E+03  3.796E+02 -1.695E-02 -1.133E-01
  5.090E-04 -9.222E-03  2.458E+03  3.984E+02 -1.969E-02 -1.255E-01
  5.356E-04 -1.071E-02  2.580E+03  4.181E+02 -2.288E-02 -1.389E-01
  5.635E-04 -1.245E-02  2.708E+03  4.388E+02 -2.657E-02 -1.537E-01
  5.929E-04 -1.446E-02  2.842E+03  4.605E+02 -3.086E-02 -1.702E-01
  6.239E-04 -1.680E-02  2.982E+03  4.832E+02 -3.584E-02 -1.884E-01
  6.564E-04 -1.951E-02  3.129E+03  5.070E+02 -4.163E-02 -2.085E-01
  6.907E-04 -2.266E-02  3.282E+03  5.319E+02 -4.833E-02 -2.308E-01
  7.267E-04 -2.632E-02  3.444E+03  5.580E+02 -5.612E-02 -2.555E-01
  7.646E-04 -3.057E-02  3.612E+03  5.854E+02 -6.515E-02 -2.828E-01
  8.045E-04 -3.550E-02  3.789E+03  6.140E+02 -7.563E-02 -3.130E-01
  8.465E-04 -4.122E-02  3.974E+03  6.440E+02 -8.778E-02 -3.464E-01
  8.906E-04 -4.785E-02  4.167E+03  6.753E+02 -1.019E-01 -3.834E-01
  9.371E-04 -5.555E-02  4.370E+03  7.081E+02 -1.182E-01 -4.243E-01
  9.860E-04 -6.447E-02  4.581E+03  7.424E+02 -1.372E-01 -4.696E-01
  1.037E-03 -7.482E-02  4.803E+03  7.783E+02 -1.591E-01 -5.197E-01
  1.092E-03 -8.682E-02  5.034E+03  8.158E+02 -1.845E-01 -5.752E-01
  1.148E-03 -1.007E-01  5.276E+03  8.550E+02 -2.140E-01 -6.365E-01
  1.208E-03 -1.169E-01  5.528E+03  8.959E+02 -2.481E-01 -7.044E-01
  1.271E-03 -1.355E-01  5.792E+03  9.386E+02 -2.876E-01 -7.794E-01
  1.338E-03 -1.572E-01  6.067E+03  9.832E+02 -3.333E-01 -8.624E-01
  1.408E-03 -1.822E-01  6.354E+03  1.030E+03 -3.862E-01 -9.542E-01
  1.481E-03 -2.112E-01  6.653E+03  1.078E+03 -4.474E-01 -1.056E+00
  1.558E-03 -2.448E-01  6.965E+03  1.129E+03 -5.182E-01 -1.168E+00
  1.640E-03 -2.837E-01  7.290E+03  1.181E+03 -6.000E-01 -1.292E+00
  1.725E-03 -3.286E-01  7.628E+03  1.236E+03 -6.944E-01 -1.429E+00
  1.815E-03 -3.806E-01  7.980E+03  1.293E+03 -8.036E-01 -1.581E+00
  1.910E-03 -4.406E-01  8.346E+03  1.353E+03 -9.295E-01 -1.748E+00
  2.009E-03 -5.100E-01  8.726E+03  1.414E+03 -1.075E+00 -1.933E+00
  2.114E-03 -5.902E-01  9.120E+03  1.478E+03 -1.243E+00 -2.137E+00
  2.224E-03 -6.827E-01  9.530E+03  1.545E+03 -1.436E+00 -2.363E+00
